CbAbbc ccc a CcBC  aAa  Ca C     b,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,8460
Bc aAcCcAaCACCbCA ccbaBbC  Baccbcb,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,8460
BBC  B  cAc B AC aAACc  a CbAba  c,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,8460
ACab C aAb  Ba ABA aA a BBBcbC Cab,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,8460
A b ab bcB cbAbC Ac b aBa CC  CAab,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,8460
CbAbbc ccc a CcBC  aAa  Ca C     b,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,7896
Bc aAcCcAaCACCbCA ccbaBbC  Baccbcb,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,7896
BBC  B  cAc B AC aAACc  a CbAba  c,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,7896
ACab C aAb  Ba ABA aA a BBBcbC Cab,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,7896
A b ab bcB cbAbC Ac b aBa CC  CAab,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,7896
CbAbbc ccc a CcBC  aAa  Ca C     b,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,7822
Bc aAcCcAaCACCbCA ccbaBbC  Baccbcb,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,7822
BBC  B  cAc B AC aAACc  a CbAba  c,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,7822
ACab C aAb  Ba ABA aA a BBBcbC Cab,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,7822
A b ab bcB cbAbC Ac b aBa CC  CAab,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,7822
CbAbbc ccc a CcBC  aAa  Ca C     b,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,6693
Bc aAcCcAaCACCbCA ccbaBbC  Baccbcb,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,6693
BBC  B  cAc B AC aAACc  a CbAba  c,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,6693
ACab C aAb  Ba ABA aA a BBBcbC Cab,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,6693
A b ab bcB cbAbC Ac b aBa CC  CAab,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,6693
CbAbbc ccc a CcBC  aAa  Ca C     b,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,6429
Bc aAcCcAaCACCbCA ccbaBbC  Baccbcb,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,6429
BBC  B  cAc B AC aAACc  a CbAba  c,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,6429
ACab C aAb  Ba ABA aA a BBBcbC Cab,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,6429
A b ab bcB cbAbC Ac b aBa CC  CAab,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,6429
CbAbbc ccc a CcBC  aAa  Ca C     b,Ac abAA   bA CcaBa c    AB bBB Aa Ab ba cCbBB b c b aB BcB  B A ccCacABABc aaCC,1425
